query,region,correct,wrong,F1_correct,F1_wrong,IoU_correct,IoU_wrong,building_prob_correct,building_prob_wrong,building_recall_correct,building_recall_wrong,F1_wrong_minus_correct,mean_wrong_minus_correct,mean_absolute_probability_difference,foreground_ratio_difference@0.5,spatial_binary_disagreement@0.5
Q-urban-2-1m,urban,P1-1m,W-vegetation-1m,0.4957168234752286,0.0,0.32953690582410466,0.0,0.29878300428390503,0.004303300753235817,0.3383509969462906,0.0,-0.4957168234752286,-0.06795985251665115,0.11291830986738205,-0.0654566820680893,0.08963856892677138
Q-urban-2-1m,urban,P1-1m,W-field-1m,0.4957168234752286,0.0,0.32953690582410466,0.0,0.29878300428390503,0.00503662321716547,0.3383509969462906,0.0,-0.4957168234752286,-0.07310491800308228,0.10475877672433853,-0.07723857960983911,0.07785667138502157
Q-urban-2-1m,urban,P2-1m,W-vegetation-1m,0.005952487034627791,0.0,0.002985127985127985,0.0,0.09649211168289185,0.004303300753235817,0.002999820370037722,0.0,-0.005952487034627791,-0.028769565746188164,0.07288724929094315,0.010408360263566542,0.013773526595115548
Q-urban-2-1m,urban,P2-1m,W-field-1m,0.005952487034627791,0.0,0.002985127985127985,0.0,0.09649211168289185,0.00503662321716547,0.002999820370037722,0.0,-0.005952487034627791,-0.03391462564468384,0.06323804706335068,-0.001373537278183268,0.0019916290533657384
Q-urban-2-1m,urban,P3-1m,W-vegetation-1m,0.0,0.0,0.0,0.0,0.015517227351665497,0.004303300753235817,0.0,0.0,0.0,0.01614135131239891,0.030816642567515373,0.012090943429341045,0.012090943429341045
Q-urban-2-1m,urban,P3-1m,W-field-1m,0.0,0.0,0.0,0.0,0.015517227351665497,0.00503662321716547,0.0,0.0,0.0,0.010996289551258087,0.023308029398322105,0.0003090458875912353,0.0003090458875912353
Q-urban-2-1.5m,urban,P1-1.5m,W-vegetation-1.5m,0.18662892348680377,0.0,0.10291822005105508,0.0,0.11704839020967484,0.004204029217362404,0.10443338737630682,0.0,-0.18662892348680377,-0.029068542644381523,0.05680646002292633,-0.02220814845618841,0.02658034191621107
Q-urban-2-1.5m,urban,P1-1.5m,W-field-1.5m,0.18662892348680377,0.0,0.10291822005105508,0.0,0.11704839020967484,0.00468265637755394,0.10443338737630682,0.0,-0.18662892348680377,-0.0309250820428133,0.05342017486691475,-0.024394245186199738,0.024394245186199738
Q-urban-2-1.5m,urban,P2-1.5m,W-vegetation-1.5m,0.0,0.0,0.0,0.0,0.0038157112430781126,0.004204029217362404,0.0,0.0,0.0,0.013291079550981522,0.014952615834772587,0.002186096730011331,0.002186096730011331
Q-urban-2-1.5m,urban,P2-1.5m,W-field-1.5m,0.0,0.0,0.0,0.0,0.0038157112430781126,0.00468265637755394,0.0,0.0,0.0,0.011434540152549744,0.012547901831567287,0.0,0.0
Q-urban-2-1.5m,urban,P3-1.5m,W-vegetation-1.5m,0.0,0.0,0.0,0.0,0.005535047501325607,0.004204029217362404,0.0,0.0,0.0,0.010697221383452415,0.01587340049445629,0.002186096730011331,0.002186096730011331
Q-urban-2-1.5m,urban,P3-1.5m,W-field-1.5m,0.0,0.0,0.0,0.0,0.005535047501325607,0.00468265637755394,0.0,0.0,0.0,0.008840681053698063,0.012663562782108784,0.0,0.0
Q-urban-2-2m,urban,P1-2m,W-vegetation-2m,0.16611804866154622,0.0,0.09058273818568606,0.0,0.09207195043563843,0.008708188310265541,0.09474708944252394,0.0,-0.16611804866154622,-0.02234639972448349,0.04352479800581932,-0.027021871578393183,0.027021871578393183
Q-urban-2-2m,urban,P1-2m,W-field-2m,0.16611804866154622,0.0,0.09058273818568606,0.0,0.09207195043563843,0.0037347886245697737,0.09474708944252394,0.0,-0.16611804866154622,-0.02793290838599205,0.04279016703367233,-0.027021871578393183,0.027021871578393183
Q-urban-2-2m,urban,P2-2m,W-vegetation-2m,0.0,0.0,0.0,0.0,0.0037456208374351263,0.008708188310265541,0.0,0.0,0.0,0.01183348149061203,0.012430474162101746,0.0,0.0
Q-urban-2-2m,urban,P2-2m,W-field-2m,0.0,0.0,0.0,0.0,0.0037456208374351263,0.0037347886245697737,0.0,0.0,0.0,0.006246975157409906,0.008161644451320171,0.0,0.0
Q-urban-2-2m,urban,P3-2m,W-vegetation-2m,0.0,0.0,0.0,0.0,0.008322082459926605,0.008708188310265541,0.0,0.0,0.0,0.010112752206623554,0.01279529370367527,0.0,0.0
Q-urban-2-2m,urban,P3-2m,W-field-2m,0.0,0.0,0.0,0.0,0.008322082459926605,0.0037347886245697737,0.0,0.0,0.0,0.004526245873421431,0.009372820146381855,0.0,0.0
Q-urban-2-3m,urban,P1-3m,W-vegetation-3m,0.07356150709729813,0.0,0.03818523527655314,0.0,0.06087978929281235,0.0026887552812695503,0.039243293981732194,0.0,-0.07356150709729813,-0.03064802475273609,0.03606106713414192,-0.014149791701637392,0.014149791701637392
Q-urban-2-3m,urban,P1-3m,W-field-3m,0.07356150709729813,0.0,0.03818523527655314,0.0,0.06087978929281235,0.006762743461877108,0.039243293981732194,0.0,-0.07356150709729813,-0.016666991636157036,0.04361705854535103,-0.014016267110222642,0.014283316293052144
Q-urban-2-3m,urban,P2-3m,W-vegetation-3m,0.0,0.0,0.0,0.0,0.00014612743689212948,0.0026887552812695503,0.0,0.0,0.0,0.00483576487749815,0.004841140005737543,0.0,0.0
Q-urban-2-3m,urban,P2-3m,W-field-3m,0.0,0.0,0.0,0.0,0.00014612743689212948,0.006762743461877108,0.0,0.0,0.0,0.01881679892539978,0.01881679892539978,0.00013352459141475028,0.00013352459141475028
Q-urban-2-3m,urban,P3-3m,W-vegetation-3m,0.0,0.0,0.0,0.0,1.6735120880184695e-05,0.0026887552812695503,0.0,0.0,0.0,0.00495415274053812,0.00495415274053812,0.0,0.0
Q-urban-2-3m,urban,P3-3m,W-field-3m,0.0,0.0,0.0,0.0,1.6735120880184695e-05,0.006762743461877108,0.0,0.0,0.0,0.01893518678843975,0.01893518678843975,0.00013352459141475028,0.00013352459141475028
Q-urban-2-4m,urban,P1-4m,W-vegetation-4m,0.0,0.0,0.0,0.0,0.013924218714237213,0.002436572453007102,0.0,0.0,0.0,-0.006686965003609657,0.01218754518777132,0.0,0.0
Q-urban-2-4m,urban,P1-4m,W-field-4m,0.0,0.0,0.0,0.0,0.013924218714237213,0.001552005996927619,0.0,0.0,0.0,-0.006349661853164434,0.013904749415814877,0.0,0.0
Q-urban-2-4m,urban,P2-4m,W-vegetation-4m,0.0,0.0,0.0,0.0,9.838060213951394e-05,0.002436572453007102,0.0,0.0,0.0,0.005965872667729855,0.005965872667729855,0.0,0.0
Q-urban-2-4m,urban,P2-4m,W-field-4m,0.0,0.0,0.0,0.0,9.838060213951394e-05,0.001552005996927619,0.0,0.0,0.0,0.00630317535251379,0.006303176749497652,0.0,0.0
Q-urban-2-4m,urban,P3-4m,W-vegetation-4m,0.0,0.0,0.0,0.0,1.4918679880793206e-05,0.002436572453007102,0.0,0.0,0.0,0.006078055594116449,0.006078055594116449,0.0,0.0
