experiment_id,support_id,query_id,support_gsd,query_gsd,scene_type,prompt_type,prob_mean,prob_std,p90,p95,p99,prob_max,fg_ratio@0.3,fg_ratio@0.5,fg_ratio@0.7,IoU,Precision,Recall,F1,runtime_ms,peak_gpu_memory_mb,model_version,checkpoint_digest,seed
Q13-building-01,building-01,Q13,1.0,1.0,mixed,building,0.14930498600006104,0.1488036960363388,0.37686365842819214,0.4529072940349579,0.5617080926895142,0.7408440709114075,0.18445205688476562,0.02635955810546875,0.000396728515625,,,,,246.0510559612885,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q13-vegetation-control,vegetation-control,Q13,1.0,1.0,mixed,wrong_vegetation,0.18253998458385468,0.14060936868190765,0.35880425572395325,0.4839528501033783,0.574034571647644,0.6696817874908447,0.1709747314453125,0.04567718505859375,0.0,,,,,246.06452404987067,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q14-building-01,building-01,Q14,1.0,1.0,mixed,building,0.0734458640217781,0.09923546761274338,0.19806183874607086,0.2529982328414917,0.5138000249862671,0.7763093709945679,0.029109954833984375,0.0105133056640625,0.002346038818359375,,,,,245.4286249121651,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q14-vegetation-control,vegetation-control,Q14,1.0,1.0,mixed,wrong_vegetation,0.26738300919532776,0.24957269430160522,0.6205729842185974,0.642433762550354,0.6807959675788879,0.799355685710907,0.4199790954589844,0.2951469421386719,0.002593994140625,,,,,242.00468696653843,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q15-building-01,building-01,Q15,1.0,1.0,mixed,building,0.08103025704622269,0.08034132421016693,0.19541743397712708,0.24439267814159393,0.33974161744117737,0.618947446346283,0.01853179931640625,0.000820159912109375,0.0,,,,,247.3874279530719,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q15-vegetation-control,vegetation-control,Q15,1.0,1.0,mixed,wrong_vegetation,0.35360395908355713,0.19201979041099548,0.5649400949478149,0.5915265083312988,0.67813640832901,0.7567625641822815,0.6236152648925781,0.3181266784667969,0.00371551513671875,,,,,246.5575879905373,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q16-building-01,building-01,Q16,1.0,1.0,mixed,building,0.077016681432724,0.07849476486444473,0.18102476000785828,0.23473863303661346,0.322573721408844,0.6129660606384277,0.0150909423828125,0.003650665283203125,0.0,,,,,249.07946307212114,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q16-vegetation-control,vegetation-control,Q16,1.0,1.0,mixed,wrong_vegetation,0.2326766401529312,0.1281653344631195,0.4174712598323822,0.46579015254974365,0.5143847465515137,0.645137369632721,0.3043479919433594,0.021694183349609375,0.0,,,,,244.11526299081743,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q14-1to2,building-01,Q14,1,2,same-region,building,0.053369633853435516,0.1327240765094757,0.1340254694223404,0.4056585431098938,0.6583424806594849,0.7964301109313965,0.06534576416015625,0.033725738525390625,0.00592803955078125,,,,,247.51598399598151,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q14-2to2,building-01,Q14,2,2,same-region,building,0.0416715107858181,0.09461192786693573,0.16478244960308075,0.2690076529979706,0.4317912757396698,0.7083796858787537,0.038539886474609375,0.006343841552734375,1.1444091796875e-05,,,,,244.56685909535736,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q14-2to1,building-01,Q14,2,1,same-region,building,0.04727454110980034,0.08622424304485321,0.1323278248310089,0.19467802345752716,0.4853860139846802,0.7525967955589294,0.020030975341796875,0.009380340576171875,0.00078582763671875,,,,,248.2315399684012,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q14-1.5to1.5,building-01,Q14,1.5,1.5,same-region,building,0.047295160591602325,0.0648784190416336,0.14976181089878082,0.19308412075042725,0.2572309076786041,0.46513667702674866,0.00286102294921875,0.0,0.0,,,,,244.63188694790006,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q15-1to2,building-01,Q15,1,2,distant-tile,building,0.04677484184503555,0.10243848711252213,0.15031859278678894,0.2782087028026581,0.525684118270874,0.7160342335700989,0.040088653564453125,0.01306915283203125,9.918212890625e-05,,,,,245.35096902400255,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q15-2to2,building-01,Q15,2,2,distant-tile,building,0.03998079150915146,0.08422704041004181,0.17241501808166504,0.22893385589122772,0.37411585450172424,0.6512428522109985,0.01940155029296875,0.002964019775390625,0.0,,,,,246.93735491018742,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q15-2to1,building-01,Q15,2,1,distant-tile,building,0.04651474952697754,0.06013431027531624,0.1394115388393402,0.17894722521305084,0.24749533832073212,0.4454028010368347,0.003437042236328125,0.0,0.0,,,,,247.14873195625842,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q15-1.5to1.5,building-01,Q15,1.5,1.5,distant-tile,building,0.033650077879428864,0.070409394800663,0.11950153857469559,0.2081560492515564,0.3036869168281555,0.5211881995201111,0.010494232177734375,0.0002288818359375,0.0,,,,,242.6672849105671,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q07-1to2,building-01,Q07,1,2,farmland-candidate,building,0.03750643879175186,0.09391836076974869,0.1029844731092453,0.16930687427520752,0.5702793002128601,0.822551965713501,0.025844573974609375,0.016056060791015625,0.001819610595703125,,,,,242.0768829761073,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q07-2to2,building-01,Q07,2,2,farmland-candidate,building,0.03290219604969025,0.07819943130016327,0.10405205935239792,0.2087067812681198,0.41743534803390503,0.6331802010536194,0.021511077880859375,0.003009796142578125,0.0,,,,,246.5538859833032,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q07-2to1,building-01,Q07,2,1,farmland-candidate,building,0.09210938215255737,0.131050705909729,0.2453100085258484,0.43386414647102356,0.5719015598297119,0.6169460415840149,0.07957839965820312,0.037364959716796875,0.0,,,,,247.11601191665977,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q07-1.5to1.5,building-01,Q07,1.5,1.5,farmland-candidate,building,0.03139319270849228,0.06756477802991867,0.08851195126771927,0.12286943942308426,0.39220884442329407,0.7224810123443604,0.011749267578125,0.007770538330078125,9.1552734375e-05,,,,,247.9798289714381,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
