experiment_id,query_id,support_id,prompt,prompt_type,query_region,support_region,support_gsd,query_gsd,GSD_METADATA_CONFLICT,seed,slot_id,checkpoint_digest,model_version,model_git_commit,runtime_ms,wall_ms,peak_gpu_memory_mb,prob_mean,prob_std,prob_max,p90,p95,p99,valid_pixels,fg_ratio@0.3,fg_ratio@0.5,fg_ratio@0.7,IoU,Precision,Recall,F1,false_positive_area,gt_status,TP,FP,FN,false_negative_area,area_units,core_prob_mean,core_prob_std,core_prob_max,core_p90,core_p95,core_p99,core_valid_pixels,core_fg_ratio@0.3,core_fg_ratio@0.5,core_fg_ratio@0.7,core_IoU,core_Precision,core_Recall,core_F1,core_false_positive_area,core_gt_status,core_TP,core_FP,core_FN,core_false_negative_area,common_core
Q-urban-1-2m__P3-1m,Q-urban-1-2m,P3-1m,P3,building,urban,urban,1.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.4960359716788,926.215665997006,11501.28173828125,0.014901320450007915,0.034070055931806564,0.3078758418560028,0.039370596408843994,0.07862523198127747,0.18757523596286774,262121,0.00012971108762746975,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,50227,200908.0,m2,0.007762671448290348,0.015541673637926579,0.23843593895435333,0.019925829023122787,0.0359983965754509,0.08025681227445602,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-2m__P3-2m,Q-urban-1-2m,P3-2m,P3,building,urban,urban,2.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,241.4438349660486,700.25470899418,11501.28173828125,0.003773125819861889,0.011380093172192574,0.2192874550819397,0.007912020199000835,0.01689213141798973,0.05417710542678833,262121,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,50227,200908.0,m2,0.0022515489254146814,0.0066899810917675495,0.13204552233219147,0.005063300020992756,0.00918862596154213,0.02679014764726162,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-2m__W-vegetation-2m,Q-urban-1-2m,W-vegetation-2m,W-vegetation,wrong,urban,outskirts,2.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,245.72396092116833,696.2137919908855,11501.28173828125,0.02128271758556366,0.05387390777468681,0.7494747638702393,0.036850593984127045,0.07953254133462906,0.3189288377761841,262121,0.01089573136070746,0.0024339904090095797,0.0002060117274083343,0.0,0.0,0.0,0.0,2552.0,official_human_vectors,0,638,50227,200908.0,m2,0.0154463741928339,0.025418270379304886,0.3413980305194855,0.03082021325826645,0.045184340327978134,0.14096157252788544,262033,0.0005190185968942843,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-2m__W-field-2m,Q-urban-1-2m,W-field-2m,W-field,wrong,urban,outskirts,2.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,245.30626798514277,685.2531250042375,11501.28173828125,0.014121306128799915,0.04370605945587158,0.5909597277641296,0.021193740889430046,0.05838393047451973,0.24946719408035278,262121,0.006676305980825649,0.0006447404061483055,0.0,0.0,0.0,0.0,0.0,676.0,official_human_vectors,0,169,50227,200908.0,m2,0.009389313869178295,0.021831033751368523,0.2938382029533386,0.017443427816033363,0.029724717140197754,0.1336338371038437,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-3m__P1-1m,Q-urban-1-3m,P1-1m,P1,building,urban,urban,1.0,3.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,246.79388897493482,712.0788340107538,11501.28173828125,0.05012275651097298,0.1058649867773056,0.7813706994056702,0.15233151614665985,0.2513084411621094,0.5831182599067688,262113,0.03828501447848828,0.016057959734923487,0.0022356769790128684,0.03862607393675805,0.5148491328106438,0.040085090640029596,0.07437917245876881,18378.0,official_human_vectors,2167,2042,51893,467037.0,m2,0.0881933867931366,0.10629734396934509,0.7473297715187073,0.25177493691444397,0.3148956894874573,0.4204549193382263,262033,0.06285467860918281,0.00457575954173711,0.00047322283834478864,0.00919272048530098,0.3286071726438699,0.009368683866365473,0.018217968280390254,805,human_approved,394,805,41661,41661,
Q-urban-1-3m__P1-3m,Q-urban-1-3m,P1-3m,P1,building,urban,urban,3.0,3.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,248.32062399946153,713.1906249851454,11501.28173828125,0.021450262516736984,0.05255348980426788,0.5757240653038025,0.05805650353431702,0.0977587178349495,0.29632964730262756,262113,0.009667586117437899,0.0008812992869487587,0.0,0.004254453302750596,0.9956709956709957,0.004254532001479837,0.008472859221602107,9.0,official_human_vectors,230,1,53830,484470.0,m2,0.027526501566171646,0.04077982157468796,0.5368183851242065,0.07280942797660828,0.10017211735248566,0.182214617729187,262033,0.0024577057088229345,0.0003892639476707132,0.0,0.002425395315658067,1.0,0.002425395315658067,0.004839054012382285,0,human_approved,102,0,41953,41953,
Q-urban-1-3m__P2-1m,Q-urban-1-3m,P2-1m,P2,building,urban,urban,1.0,3.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.17837499640882,690.3317499964032,11501.28173828125,0.10236077755689621,0.1432887315750122,0.7820875644683838,0.29332149028778076,0.42600902915000916,0.656557023525238,262113,0.0960768828711281,0.033752618145608954,0.004070763373049028,0.08178707158948255,0.5375833615915,0.0879763226045135,0.1512073378161413,36819.0,official_human_vectors,4756,4091,49304,443736.0,m2,0.12244287878274918,0.1200205534696579,0.7357223629951477,0.28826022148132324,0.37097957730293274,0.5327782034873962,262033,0.08716841008575256,0.016146821201909682,0.0002938561173592639,0.0482143261544036,0.5031907350508155,0.05062418261800024,0.09199325930086852,2102,human_approved,2129,2102,39926,39926,
Q-urban-1-3m__P2-3m,Q-urban-1-3m,P2-3m,P2,building,urban,urban,3.0,3.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.77491609286517,704.4847079960164,11501.28173828125,0.0002148039056919515,0.0006069603259675205,0.013370232656598091,0.00048299218178726733,0.0008472176850773394,0.002696880605071783,262113,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,54060,486540.0,m2,0.0002494273940101266,0.0005378952482715249,0.0104093998670578,0.0005484307766892016,0.0009112792322412133,0.0025110007263720036,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-3m__P3-1m,Q-urban-1-3m,P3-1m,P3,building,urban,urban,1.0,3.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,242.31273296754807,710.5114169826265,11501.28173828125,0.008815706707537174,0.020328525453805923,0.23148603737354279,0.023223422467708588,0.03688180074095726,0.11569137871265411,262113,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,54060,486540.0,m2,0.010091297328472137,0.014046738855540752,0.17720475792884827,0.023467279970645905,0.03514760732650757,0.07306768745183945,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-3m__P3-3m,Q-urban-1-3m,P3-3m,P3,building,urban,urban,3.0,3.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,241.74501793459058,705.5592079996131,11501.28173828125,0.00010129107249667868,0.0003498032165225595,0.005256026983261108,0.0001760185550665483,0.00037502453778870404,0.0019150227308273315,262113,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,54060,486540.0,m2,8.363446249859408e-05,0.00019139157666359097,0.0021977322176098824,0.00014909998571965843,0.0003627402475103736,0.0010762762976810336,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-3m__W-vegetation-3m,Q-urban-1-3m,W-vegetation-3m,W-vegetation,wrong,urban,outskirts,3.0,3.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,245.72986899875104,683.1174170074519,11501.28173828125,0.007267479784786701,0.023359064012765884,0.41229119896888733,0.012666474096477032,0.019280781969428062,0.11603787541389465,262113,0.001506983629198094,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,54060,486540.0,m2,0.006952016614377499,0.009222518652677536,0.14873455464839935,0.012617595493793488,0.017126677557826042,0.049248453229665756,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
